11,ID,ACEH
12,ID,SUMATERA UTARA
13,ID,SUMATERA BARAT
14,ID,RIAU
15,ID,JAMBI
16,ID,SUMATERA SELATAN
17,ID,BENGKULU
18,ID,LAMPUNG
19,ID,KEPULAUAN BANGKA BELITUNG
21,ID,KEPULAUAN RIAU
31,ID,DKI JAKARTA
32,ID,JAWA BARAT
33,ID,JAWA TENGAH
34,ID,DI YOGYAKARTA
35,ID,JAWA TIMUR
36,ID,BANTEN
51,ID,BALI
52,ID,NUSA TENGGARA BARAT
53,ID,NUSA TENGGARA TIMUR
61,ID,KALIMANTAN BARAT
62,ID,KALIMANTAN TENGAH
63,ID,KALIMANTAN SELATAN
64,ID,KALIMANTAN TIMUR
65,ID,KALIMANTAN UTARA
71,ID,SULAWESI UTARA
72,ID,SULAWESI TENGAH
73,ID,SULAWESI SELATAN
74,ID,SULAWESI TENGGARA
75,ID,GORONTALO
76,ID,SULAWESI BARAT
81,ID,MALUKU
82,ID,MALUKU UTARA
91,ID,PAPUA BARAT
94,ID,PAPUA
